Time/Date, W, X, Y, Z, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
11:47:22 07/04/2014,0.29,-0.37,-0.63,0.62,0.05,-0.97,-0.14,-0.98,0.24,-2.44,393.00,-2599.00,1039.00
11:47:22 07/04/2014,0.29,-0.37,-0.63,0.62,0.05,-0.97,-0.15,-0.98,0.31,-2.38,393.00,-2599.00,1039.00
11:47:22 07/04/2014,0.29,-0.37,-0.63,0.62,0.05,-0.97,-0.15,-0.85,0.37,-2.32,393.00,-2599.00,1039.00
11:47:22 07/04/2014,0.29,-0.37,-0.63,0.62,0.05,-0.97,-0.15,-0.73,0.31,-2.38,393.00,-2599.00,1039.00
11:47:22 07/04/2014,0.29,-0.37,-0.63,0.62,0.05,-0.98,-0.14,-0.67,0.37,-2.38,393.00,-2599.00,1039.00
11:47:22 07/04/2014,0.29,-0.37,-0.63,0.62,0.05,-0.98,-0.15,-0.55,0.24,-2.38,393.00,-2599.00,1039.00
11:47:22 07/04/2014,0.29,-0.37,-0.63,0.62,0.05,-0.98,-0.15,-0.43,0.18,-2.38,393.00,-2599.00,1039.00
11:47:22 07/04/2014,0.29,-0.37,-0.63,0.62,0.05,-0.97,-0.15,-0.31,0.12,-2.38,393.00,-2599.00,1039.00
11:47:22 07/04/2014,0.29,-0.37,-0.63,0.62,0.05,-0.97,-0.15,-0.18,0.12,-2.38,393.00,-2599.00,1039.00
11:47:22 07/04/2014,0.29,-0.37,-0.63,0.62,0.05,-0.98,-0.15,-0.12,0.12,-2.44,393.00,-2599.00,1039.00
11:47:22 07/04/2014,0.29,-0.37,-0.63,0.62,0.05,-0.98,-0.15,0.00,0.18,-2.44,524.00,-2630.00,1130.00
11:47:22 07/04/2014,0.29,-0.37,-0.63,0.62,0.05,-0.98,-0.15,0.06,0.24,-2.44,524.00,-2630.00,1130.00
11:47:22 07/04/2014,0.29,-0.37,-0.63,0.62,0.05,-0.98,-0.15,0.24,0.24,-2.44,524.00,-2630.00,1130.00
